Video,Frame,EAR,MAR,CIR,ME,HEAD,EAR_N,MAR_N,CIR_N,ME_N,HEAD_N,Label
1,0,0.254456385,0.753925431,0.410524455,2.962886666,89.35177308,0.139509253,1.413868106,0.037417145,0.972364726,0.948242963,0
1,1005,0.234888088,0.898605746,0.361181202,3.825676111,87.03024977,1.149016425,0.734003128,1.243024695,1.375496778,0.434518415,0
1,1020,0.282137429,0.894959008,0.455541975,3.172067634,78.81795501,1.288525678,0.679864977,1.20560755,0.403132052,1.382761378,0
1,1035,0.271222878,0.89439997,0.412617873,3.297656809,75.96567655,0.725455851,0.671565708,0.091740663,0.061373132,2.013935511,0
1,105,0.242016317,0.689194388,0.382492335,2.847718685,107.8050556,0.78127883,2.374841575,0.690007515,1.285765024,5.031727357,0
1,1050,0.332020903,0.888513723,0.497415023,2.676077666,103.737262,3.861959792,0.584180629,2.29219994,1.752842295,4.131574667,0
1,1065,0.33475076,0.661724808,0.530349353,1.97676865,67.17262748,4.002790155,2.782644953,3.146835397,3.655833492,3.959729089,0
1,1080,0.272799991,0.396004897,0.530349353,1.451630904,63.90188847,0.806817383,6.727425919,0.469985985,5.084861982,4.683503393,0
1,1095,0.258226314,0.341876523,0.376006833,1.32394146,86.57131507,0.054977257,7.530996031,0.85830426,5.432336247,0.332961813,0
1,1110,0.245667047,0.334936921,0.372965938,1.363377485,80.58383301,0.59294164,7.634018833,0.937214509,5.325021159,0.991994302,0
1,1125,0.236872889,0.368291897,0.342133934,1.554808147,82.07683721,1.04662271,7.138843016,1.737295278,4.80409142,0.661610842,0
1,1140,0.335175253,0.407945098,0.473605045,1.217109841,90.28111567,4.024689253,6.550166042,1.674338528,5.723051262,1.153895043,0
1,1155,0.270455877,0.968494545,0.431255959,3.580970601,95.1757214,0.685887125,1.771546771,0.575393123,0.709593121,2.237011074,0
1,1170,0.304978286,0.821648786,0.479540372,2.694122251,91.68514757,2.466860609,0.40847186,1.828358381,1.703738558,1.464590029,0
1,1185,0.356088531,0.923548145,0.524865754,2.593591379,92.65819599,5.103582551,1.104288892,3.004537729,1.977307696,1.679913674,0
1,1200,0.356069948,0.981203313,0.540742317,2.755647639,91.55398645,5.102623875,1.960216497,3.416529509,1.536312901,1.435565687,0
1,1215,0.370811758,0.969419857,0.564352119,2.614318007,80.69305202,5.863137801,1.785283609,4.029196435,1.92090546,0.96782548,0
1,1230,0.347291592,0.880936942,0.502849365,2.536591624,88.43391721,4.649757997,0.4716985,2.433219377,2.132417997,0.74513275,0
1,1245,0.195604574,0.622199108,0.318285583,3.180902658,89.23759182,3.175610163,3.369429088,2.356152463,0.379089788,0.922976055,0
1,1260,0.256566613,0.435621955,0.387956279,1.697890264,95.76003436,0.030644882,6.139285513,0.548219908,4.414729918,2.366312343,0
1,1275,0.216963794,0.344077252,0.35245024,1.585874057,101.2296687,2.073711236,7.498324809,1.469590394,4.719553465,3.576675119,0
1,1290,0.285308111,0.345765733,0.389260157,1.21190292,86.60892531,1.452097686,7.473258243,0.514384677,5.737220569,0.341284497,0
1,1305,0.253452255,0.379501721,0.381638561,1.497330218,85.29953013,0.191311223,6.972426058,0.712162693,4.96050295,0.051531451,0
1,1320,0.233439067,0.477018478,0.375792555,2.043438929,88.5041861,1.223769809,5.524727818,0.86386469,3.474407324,0.760682391,0
1,1335,0.258621277,0.446589233,0.390302919,1.72680778,87.84785905,0.075352969,5.9764693,0.487325338,4.33603827,0.61544529,0
1,1350,0.279549633,0.350052427,0.378639393,1.252201345,90.86719855,1.155024099,7.409619545,0.789990156,5.627558681,1.283587976,1
1,1365,0.302922706,1.143187535,0.469260743,3.773858848,92.07163,2.360815495,4.364975235,1.56160525,1.234489308,1.550113837,0
1,1380,0.350174841,1.130023036,0.544558937,3.227025198,97.50654133,4.798501705,4.169539876,3.515569603,0.253579053,2.752792848,0
1,1395,0.380424465,1.320797423,0.566344229,3.471904527,97.57751938,6.359046886,7.001706896,4.080891056,0.412797607,2.768499418,0
1,1410,0.296646205,1.127482158,0.456203868,3.800763804,95.27974844,2.037017626,4.131818933,1.222783482,1.307704285,2.260030977,0
1,1425,0.207675443,1.065666238,0.348680674,5.131402251,85.34835151,2.552887129,3.214122309,1.567409433,4.928697568,0.062335022,1
1,1440,0.237971136,1.173570567,0.396779585,4.931566847,101.4791069,0.989965301,4.816030653,0.319257893,4.384896466,3.63187273,0
1,1455,0.385868499,0.878643605,0.58591584,2.277054508,84.64790365,6.639898669,0.437652458,4.588768178,2.838682087,0.09266547,0
1,1470,0.227210845,0.895294647,0.38564339,3.940369341,104.2860625,1.545077035,0.684847753,0.608238644,1.687605162,4.253017483,0
1,15,0.348003314,1.038881763,0.527909835,2.985263992,94.50301748,4.686474992,2.816489746,3.083530663,0.911470539,2.088149973,0
1,150,0.20779237,0.452194251,0.326135028,2.176183137,53.98497331,2.546855031,5.893259245,2.152461831,3.113177805,6.87799471,1
1,1560,0.242064794,1.048386503,0.353069143,4.331016026,98.33116588,0.77877795,2.957593662,1.453530068,2.750650519,2.935272117,0
1,1575,0.297311949,0.875107795,0.446464501,2.943399341,97.86266172,2.071362641,0.38516111,0.970049974,1.025394511,2.831597909,0
1,1590,0.289564008,0.860945212,0.44770262,2.973246636,90.02435841,1.671654779,0.17490856,1.002178786,0.944172709,1.097077821,0
1,1605,0.286232632,0.907424803,0.421945318,3.170235337,101.8399686,1.499792703,0.86492763,0.333784933,0.408118182,3.711726985,0
1,1620,0.251147354,0.938546253,0.411141337,3.737034209,96.25481035,0.310218578,1.326945342,0.053425023,1.134280442,2.475800183,0
1,1635,0.279473001,0.924263868,0.446752318,3.307166935,101.0003298,1.151070715,1.114914248,0.977518748,0.035493748,3.525925246,0
1,165,0.311094719,0.946463941,0.489495948,3.04236582,83.8223286,2.782400756,1.444488444,2.086702431,0.756082471,0.275355072,0
1,1650,0.216315309,0.8649874,0.385559547,3.998734093,86.8728373,2.107165887,0.234917405,0.610414347,1.846429954,0.399684972,1
1,1665,0.240907562,0.880638095,0.402608147,3.655502081,88.68063402,0.838478295,0.467261921,0.168008557,0.912411542,0.799728145,0
1,1680,0.206507438,0.886845047,0.322344974,4.294494442,89.51148257,2.613143237,0.559408066,2.250812545,2.651266338,0.983584707,1
1,1695,0.255508231,0.769565863,0.405556428,3.011902438,88.21113541,0.085245688,1.181675947,0.091501607,0.838980798,0.69583388,0
1,1710,0.22918461,0.402884739,0.387104301,1.757904853,106.1642945,1.44325262,6.625290295,0.570328469,4.251415514,4.668647108,0
1,1740,0.292304628,0.643060242,0.412336842,2.199965995,103.5174409,1.81304041,3.059732293,0.084448,3.048458822,4.082930978,0
1,1755,0.239039655,0.470767057,0.285536684,1.969409872,98.97247463,0.934841587,5.617534142,3.205976032,3.675858528,3.077185853,0
1,1770,0.214391724,0.491220821,0.328590018,2.291230336,95.39099054,2.206401536,5.313885005,2.088755613,2.800106187,2.284647485,0
1,1785,0.208921334,0.52973007,0.319888708,2.535548004,97.94813642,2.488613016,4.74219073,2.314551855,2.135257943,2.850512408,0
1,180,0.356666016,0.955718438,0.532970528,2.679589296,83.6626007,5.133374333,1.58187733,3.214854059,1.743286291,0.310700892,0
1,1800,0.26846457,0.54400602,0.381003722,2.026360573,90.48113132,0.583157739,4.530255188,0.728636546,3.520881716,1.198156046,0
1,1815,0.219176238,0.545534032,0.306852328,2.489019966,96.96039682,1.959573674,4.507570879,2.652841805,2.261872135,2.631937788,0
1,1830,0.208305948,0.592004756,0.310033189,2.841996401,95.94539179,2.520360068,3.817683447,2.57029948,1.30133676,2.407329661,0
1,1845,0.247176212,0.798315914,0.41411598,3.229744104,88.03660626,0.51508546,0.754863173,0.130616082,0.246180244,0.657212727,0
1,1860,0.394507587,1.010905239,0.588719136,2.562448158,86.4909035,7.085579806,2.401160475,4.661512825,2.062056031,0.315167721,0
1,1875,0.379893534,0.979070653,0.552651919,2.57722379,93.90777183,6.331656722,1.928555813,3.725579943,2.021847916,1.956429434,0
1,1890,0.343436598,0.835657329,0.503264117,2.433221539,90.40697022,4.450883098,0.200506142,2.443982058,2.413713329,1.181745108,0
1,1905,0.178135007,0.637563217,0.278349258,3.579101202,85.48830849,4.076846106,3.141339132,3.39248748,0.704506027,0.09330578,0
1,1920,0.32114163,0.264307315,0.476702652,0.823024143,96.98643842,3.300709966,8.682560221,1.754720436,6.795455014,2.637700473,0
1,1935,0.224343955,0.344140791,0.344182085,1.53398736,88.69216358,1.692976783,7.497381541,1.684146401,4.860749883,0.802279494,0
1,195,0.281613117,0.912266667,0.44123407,3.239432437,89.04141053,1.261476993,0.936808174,0.834321948,0.219815917,0.879563548,0
1,1950,0.294214156,0.489909898,0.409335134,1.665147268,87.12488007,1.911550857,5.333346499,0.00655463,4.503831634,0.455458936,0
1,1965,0.288079428,0.442890685,0.42403898,1.537390879,80.69086644,1.595066929,6.031376595,0.388114803,4.851488075,0.968309122,0
1,1980,0.36466512,0.523251976,0.527501968,1.434883533,99.37827684,5.546039414,4.838362163,3.07294664,5.130435681,3.166984889,0
1,1995,0.28819174,0.431855945,0.399621027,1.498502158,90.74386739,1.600860999,6.195194324,0.245523367,4.957313812,1.256296306,0
1,2010,0.336591492,0.387895366,0.464615237,1.152421781,82.17203695,4.097751497,6.847817056,1.441055841,5.899083326,0.64054431,0
1,2025,0.234633275,0.401254283,0.316273733,1.710133752,92.40151429,1.162161951,6.649495452,2.408359323,4.381412386,1.62311317,0
1,2040,0.223134259,0.483433413,0.359335564,2.166558441,79.38011449,1.755383635,5.429494026,1.290918406,3.139368963,1.258362401,0
1,2055,0.355502316,0.474812956,0.534475893,1.33561143,76.3536379,5.073340319,5.557470193,3.253917809,5.400579401,1.928084436,0
1,2070,0.18084182,0.620113498,0.302636905,3.42903814,91.7366434,3.937204561,3.400391301,2.762230713,0.296147663,1.475985423,0
1,2085,0.358426351,1.053027171,0.564756547,2.937917838,85.82352705,5.224188123,3.026487317,4.039691213,1.040311023,0.167485523,0
1,210,0.29423393,0.917505596,0.457252423,3.118286174,84.05759028,1.91257099,1.014583414,1.249993147,0.549484583,0.223294557,0
1,2100,0.34597611,0.918299879,0.51475427,2.654229157,98.24249932,4.581893737,1.026375043,2.742147915,1.812297442,2.915651297,0
1,2115,0.365856224,0.954369848,0.548910153,2.608592629,102.7761548,5.607487155,1.561856656,3.628482284,1.93648562,3.918893472,0
1,2130,0.335964797,0.926683845,0.509910593,2.758276618,99.86180594,4.065421017,1.150840354,2.616456028,1.529158804,3.27398393,0
1,2145,0.25234147,0.912264805,0.394844539,3.615199694,105.4609496,0.248615436,0.936780534,0.369471734,0.80273887,4.513005527,1
1,2160,0.180984664,0.903905354,0.331685296,4.994375393,92.31210572,3.929835371,0.812679179,2.008434135,4.555813909,1.603328155,1
1,2175,0.293973604,1.078320034,0.468797566,3.668084547,91.69563849,1.899141042,3.401975944,1.549585962,0.946651515,1.466911541,0
1,2190,0.32879878,1.011142898,0.495822171,3.075263532,89.76505865,3.695733985,2.404688669,2.250865916,0.666559736,1.039697974,0
1,2205,0.326979525,0.8903737,0.507264617,2.723025857,96.10595705,3.601880576,0.611793174,2.547793775,1.625084765,2.442860779,0
1,2220,0.334008013,0.922617738,0.488917796,2.762262287,96.06641687,3.964472645,1.09047641,2.071699571,1.518312823,2.434111023,0
1,2235,0.316837044,0.833416272,0.462760751,2.630425602,89.66351634,3.078641024,0.233776058,1.392932519,1.87707275,1.01722791,0
1,225,0.300475146,0.944894849,0.439977976,3.144668907,94.00875523,2.234548516,1.421194271,0.801726705,0.477690701,1.978775818,0
1,2250,0.35622001,0.790661045,0.544752334,2.219586273,92.84803929,5.110365408,0.868504567,3.520588186,2.995067238,1.721923661,0
1,2265,0.298396707,0.771555416,0.462540478,2.585670008,96.64507643,2.127324116,1.15213978,1.387216494,1.998863687,2.562161265,0
1,2280,0.194627477,0.440999674,0.324857751,2.265865436,98.30894572,3.226017503,6.059449861,2.185606766,2.869130295,2.930355067,0
1,2295,0.258371886,0.477179904,0.408008664,1.846872399,108.7710338,0.062487148,5.52233134,0.027866851,4.00931302,5.245486456,0
1,2310,0.352918183,0.439646425,0.502159523,1.245746028,102.0060098,4.94002773,6.0795397,2.415318193,5.645125179,3.748469867,0
1,2325,0.321753082,0.364313746,0.441749607,1.132277407,89.83134412,3.332254095,7.197901201,0.847699958,5.953901102,1.054366134,0
1,2340,0.336711239,0.422083823,0.494055125,1.253548365,97.1917886,4.10392913,6.340267682,2.205011643,5.623893108,2.683141941,0
1,2355,0.326371451,0.419783428,0.484001579,1.286213692,99.85400488,3.570510692,6.374418507,1.944125298,5.53500275,3.272257651,0
1,2370,0.248207475,0.413473497,0.368957435,1.665838214,98.22012307,0.461883729,6.468093448,1.041233912,4.501951401,2.910699708,1
1,2385,0.28556088,1.033438942,0.426361214,3.618979397,100.3106135,1.465137791,2.735687621,0.448376034,0.813024368,3.373299513,0
1,240,0.299303179,0.917929218,0.471957218,3.066887629,97.00864433,2.174088044,1.020872353,1.631577923,0.689352619,2.642614367,0
1,2400,0.28610339,1.089442631,0.442177293,3.807863407,95.63268002,1.493125294,3.567097969,0.858798276,1.327024045,2.338130395,0
1,2415,0.310253114,1.211010548,0.464901422,3.903298607,92.17088425,2.73898325,5.371850959,1.448482246,1.586726611,1.572077582,0
1,2430,0.255839367,0.971987093,0.416280337,3.799208485,82.64153603,0.06816274,1.823395865,0.186780462,1.303471882,0.53664994,0
1,2445,0.324954952,0.992766744,0.49883809,3.055090364,83.11925226,3.497435092,2.131882981,2.329128074,0.721455868,0.430937216,0
1,2460,0.296259252,0.976568159,0.451630345,3.296329655,86.13997232,2.017055153,1.89140469,1.104101988,0.064984643,0.237510968,0
1,2475,0.280669321,1.03104845,0.429235984,3.673534564,87.13158667,1.212787549,2.700199246,0.522975405,0.961482347,0.456943025,0
1,2490,0.285881173,1.038160767,0.441868566,3.631441533,75.76588115,1.481661364,2.805786104,0.850786912,0.846936896,2.058147775,0
1,2505,0.358917053,0.895773429,0.509964501,2.495767258,45.05387539,5.249502898,0.691955579,2.617854918,2.2435111,8.854336801,0
1,2520,0.301128615,1.042098404,0.49504029,3.460642234,75.14592439,2.268260302,2.864242837,2.23057637,0.382150148,2.195336578,0
1,2535,0.327278554,1.015568726,0.49926118,3.103071418,86.18229225,3.61730717,2.470392907,2.340107133,0.590887664,0.246875849,0
1,255,0.347811943,0.91404793,0.541192772,2.62799466,101.0032841,4.676602388,0.963252163,3.428218684,1.883687937,3.526578997,0
1,2550,0.389287583,1.018390232,0.57651247,2.616035743,85.16200536,6.816285488,2.512279943,4.344753694,1.91623108,0.021098912,0
1,2565,0.30100826,0.989200248,0.47530772,3.286289378,88.0769628,2.262051309,2.078936089,1.718522404,0.092306698,0.66614313,0
1,2580,0.315227802,1.023580892,0.486364829,3.247114902,72.72119493,2.995621966,2.589338595,2.00545089,0.198910045,2.731899376,0
1,2595,0.382187671,0.921474945,0.553957796,2.411053563,98.34851951,6.450008748,1.073510924,3.759467032,2.474037823,2.939112261,0
1,2610,0.217248726,0.967008661,0.377612691,4.451159179,89.00185179,2.059011901,1.749487871,0.816632752,3.077589477,0.870809687,1
1,2625,0.341488032,1.000948117,0.505952102,2.931136741,94.04558365,4.350358677,2.253340669,2.513734425,1.058764052,1.986925495,0
1,2640,0.158491105,0.99882455,0.321482813,6.30208585,98.53068861,5.090253624,2.22181496,2.273185355,8.114414512,2.979424042,1
1,2655,0.291256494,0.956258088,0.463876341,3.283216363,84.72383915,1.758968313,1.589888777,1.421881732,0.100669124,0.07586188,0
1,2670,0.297540083,0.962025424,0.458935552,3.233263272,105.1472041,2.083131841,1.675508547,1.293669816,0.236603725,4.443577508,0
1,2685,0.184708914,0.943391562,0.342357364,5.107450105,115.175554,3.737705392,1.398877025,1.731497331,4.86351791,6.662727967,1
1,270,0.184273333,0.868994837,0.324418685,4.715792696,81.03664179,3.760176546,0.294410362,2.197000388,3.797722126,0.891793291,1
1,2700,0.248528577,0.663006214,0.366371943,2.667726274,116.7582389,0.445318441,2.763621666,1.10832659,1.775568481,7.01295666,1
1,2715,0.210817707,0.650542016,0.332963704,3.08580349,118.9027225,2.390781169,2.948660607,1.975259861,0.637877928,7.487504513,1
1,2730,0.166791582,0.642512295,0.286352636,3.852186589,110.1193053,4.662041052,3.067866923,3.18480234,1.447638285,5.543842339,1
1,2745,0.259360723,0.619280664,0.358908309,2.387719531,98.0988485,0.113500202,3.412755243,1.302005552,2.537535442,2.883863137,0
1,2760,0.142342985,0.587891064,0.280798726,4.13010212,85.93448745,5.923317555,3.878753808,3.328924558,2.203914547,0.192039695,1
1,2775,0.37042465,1.163859233,0.541509288,3.14195946,87.6636913,5.843167309,4.671859731,3.436432165,0.485063772,0.574691234,0
1,2790,0.290659173,1.090783375,0.448720221,3.752791849,86.54514312,1.728153161,3.587002172,1.028585188,1.177160841,0.327170282,0
1,2805,0.315734819,1.085055101,0.474516271,3.436602606,90.78117815,3.021778442,3.501962307,1.697984542,0.31673243,1.264552718,0
1,2820,0.320032985,1.012647474,0.489971929,3.164197196,91.13552625,3.24351616,2.42702506,2.099053998,0.424549443,1.342965594,0
1,2835,0.1837654,1.075642774,0.309638303,5.853347652,93.93667873,3.786380241,3.362230316,2.580546639,6.893287913,1.962826175,1
1,2850,0.216578687,1.034616944,0.34756709,4.77709492,88.59630663,2.093578506,2.753175797,1.596306608,3.9645405,0.781067532,1
1,2865,0.242576686,1.02684026,0.388085482,4.233054197,84.36531785,0.752369997,2.637725985,0.544867111,2.484072375,0.155198232,0
1,2880,0.230038822,1.033094936,0.344562988,4.490959076,83.75397529,1.399184768,2.730580623,1.674262089,3.185894752,0.29048082,0
1,2895,0.396717518,1.062832475,0.57626994,2.679066153,97.74940623,7.199587759,3.172053299,4.33846012,1.744709889,2.806535862,0
1,2910,0.266806678,0.952555522,0.425895379,3.570208701,79.92961407,0.497628892,1.534921843,0.436287762,0.680307353,1.136764906,1
1,2925,0.194044902,0.998583712,0.346275683,5.146147631,91.07223198,3.256071937,2.218239571,1.629818206,4.968823361,1.328959349,1
1,2940,0.184789975,0.937124519,0.309986972,5.071295243,71.66119316,3.733523565,1.305838785,2.571498783,4.765131669,2.966464727,0
